Files	filesize	extracted text	metadata
224	67.8899082569	2.1100917431	30
225	38.9830508475	15.9604519774	45.0564971751
226	53.8185545874	10.6099436187	35.571501794
227	53.7377564221	43.1343559416	3.1278876363
228	66.2194159432	3.8674033149	29.9131807419
229	62.7559490869	7.2495849474	29.9944659657
230	55.8449424591	9.0854027862	35.0696547547
231	61.8140243902	5.6402439024	32.5457317073
232	61.1964430073	5.4163298302	33.3872271625
233	76.9235409441	21.794601116	1.28185794
234	66.1404893449	3.9463299132	29.9131807419
235	59.1235059761	6.2151394422	34.6613545817
236	61.1156685808	5.3322395406	33.5520918786
237	81.4785809382	16.2737880805	2.2476309813
238	59.6444163905	38.2041975698	2.1513860397
239	63.7063351095	6.5719360568	29.7217288336
240	66.7514843087	3.1382527566	30.1102629347
241	62.4147856385	31.0104529617	6.5747613998
242	59.7222222222	6.25	34.0277777778
243	89.3803098451	7.1151924038	3.5044977511
244	81.2399176726	17.8241642098	0.9359181176
245	83.9701572076	13.5411670663	2.4886757261
246	66.2436548223	3.3840947547	30.372250423
247	85.8672826543	13.1037379252	1.0289794204
248	80.7949349279	10.4994723883	8.7055926838
249	61.2440191388	4.019138756	34.7368421053
250	96.0371345434	0.6720243869	3.2908410697
251	73.2796147078	25.9368343058	0.7835509864
252	72.9443938013	18.7784867821	8.2771194166
253	62.2088006903	4.572907679	33.2182916307
254	51.3574660633	9.2006033183	39.4419306184
255	58.0945558739	7.3065902579	34.5988538682
256	90.3095425868	7.3590299685	2.3314274448
257	62.5581395349	5.2713178295	32.1705426357
258	82.3788359788	16.0677248677	1.5534391534
259	66.6986564299	2.1113243762	31.1900191939
260	60.5034722222	5.0347222222	34.4618055556
261	64.1670860594	11.0719677906	24.76094615
262	72.619047619	9.8901098901	17.4908424908
